<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190503,225900,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,230800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,232600,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,234100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190504,001100,380.6000000,380.6000000,380.6000000,380.6000000,2
20190504,002800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190504,010000,380.6000000,380.6000000,380.6000000,380.6000000,0
20190504,010700,380.6000000,380.6000000,380.6000000,380.6000000,1
20190504,015900,380.6000000,380.6000000,380.6000000,380.6000000,1
20190504,024100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190504,031100,380.6000000,380.6000000,380.6000000,380.6000000,2
20190506,012000,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,014800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,022300,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,023100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,025700,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,042000,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,044800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,051100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,052300,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,053100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,054300,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,055700,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,060900,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,063100,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,071700,380.7600000,380.7600000,380.7600000,380.7600000,1
20190506,071800,380.8600000,380.8600000,380.7600000,380.7600000,2
20190506,072000,380.8100000,380.8100000,380.6600000,380.6600000,2
20190506,072100,380.5600000,380.6100000,380.5600000,380.6100000,2
20190506,072200,380.5600000,380.5600000,380.5600000,380.5600000,1
20190506,072300,380.4600000,380.4600000,380.2600000,380.3100000,3
20190506,072400,380.2600000,380.2600000,380.2100000,380.2100000,2
20190506,072500,380.2600000,380.3100000,380.2600000,380.3100000,2
20190506,072700,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,072900,380.5100000,380.5100000,380.5100000,380.5100000,1
20190506,073000,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,073100,380.3100000,380.4600000,380.3100000,380.4600000,2
20190506,073500,380.3100000,380.3100000,380.3100000,380.3100000,1
20190506,073900,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,074400,380.0600000,380.0600000,380.0600000,380.0600000,1
20190506,074500,380.1100000,380.1600000,380.1100000,380.1600000,2
20190506,074600,380.1800000,380.1800000,380.1800000,380.1800000,1
20190506,074700,380.2100000,380.2100000,380.2100000,380.2100000,1
20190506,075300,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,075600,380.0600000,380.0600000,379.9600000,379.9600000,2
20190506,080100,379.9100000,379.9600000,379.9100000,379.9600000,2
20190506,081100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190506,084200,379.7600000,379.7600000,379.6600000,379.6600000,2
20190506,084300,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,084900,379.4600000,379.4600000,379.4600000,379.4600000,1
20190506,085000,379.3600000,379.3600000,379.3600000,379.3600000,1
20190506,085100,379.4100000,379.4100000,379.4100000,379.4100000,1
20190506,085500,379.5600000,379.5600000,379.5100000,379.5100000,2
20190506,085800,379.5600000,379.5600000,379.5600000,379.5600000,1
20190506,090300,379.6100000,379.6100000,379.6100000,379.6100000,1
20190506,090900,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,091000,379.6600000,379.6600000,379.6600000,379.6600000,1
20190506,091800,379.7100000,379.8100000,379.7100000,379.7600000,3
20190506,092500,379.8600000,379.8600000,379.7600000,379.7600000,2
20190506,092900,379.8600000,379.8600000,379.8600000,379.8600000,1
20190506,093100,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,093500,379.9600000,379.9600000,379.9600000,379.9600000,1
20190506,093600,380.0100000,380.0100000,380.0100000,380.0100000,1
20190506,093900,380.0600000,380.0600000,380.0600000,380.0600000,1
20190506,095600,380.1600000,380.1600000,380.1600000,380.1600000,1
20190506,100400,380.2100000,380.2100000,380.2100000,380.2100000,1
20190506,101600,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,101700,380.7600000,380.7600000,380.7600000,380.7600000,1
20190506,101800,380.8600000,380.8600000,380.7600000,380.7600000,2
20190506,102000,380.8100000,380.8100000,380.6600000,380.6600000,2
20190506,102100,380.5600000,380.6100000,380.5600000,380.6100000,2
20190506,102200,380.5600000,380.5600000,380.5600000,380.5600000,1
20190506,102300,380.4600000,380.4600000,380.2600000,380.3100000,3
20190506,102400,380.2600000,380.2600000,380.2100000,380.2100000,2
20190506,102500,380.2600000,380.3100000,380.2600000,380.3100000,2
20190506,102700,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,102900,380.5100000,380.5100000,380.5100000,380.5100000,1
20190506,103000,380.4600000,380.4600000,380.4600000,380.4600000,1
